id,select_type,table,type,possible_keys,key,key_len,ref,rows,Extra
1,PRIMARY,D,ALL,NULL,NULL,NULL,NULL,15,"Using where; Using temporary; Using filesort"
1,PRIMARY,rb,eq_ref,PRIMARY,PRIMARY,4,fsc.D.ratiobasisID,1,
1,PRIMARY,<derived2>,ref,key0,key0,5,fsc.D.days,72759,
2,DERIVED,F,ALL,NULL,NULL,NULL,NULL,485062,"Using temporary; Using filesort"
2,DERIVED,FO,eq_ref,"PRIMARY,idfolder_UNIQUE",PRIMARY,4,fsc.F.folderID,1,
2,DERIVED,innerD,ALL,NULL,NULL,NULL,NULL,15,"Using where; Using join buffer (flat, BNL join)"
